,اسم الوكالة,المنطقة التابع له الوكيل ,العنوان  بالتفصيل,المدينة,Latitude,Longitude,البريد  الإلكتروني,رقم الهاتف,ملاحظات
1,شركة توتلايت للاتصالات والتقنية,المنطقة الغربية,,ابوكماش,11.7347405,33.07722767,mkfftees@gmail.com,919369192,
2,مركز التواصل لصيانة الحاسب الالي,المنطقة الغربية,,الجميل,12.06287556,32.85190348,adrefr_2007@yahoo.com,913254726,
3,شركة التواتر للالكترونات المساهمة,المنطقة الغربية,,الزاوية,12.73587308,32.76060061,shrief_a@yahoo.com,913734055,
4,مركز القلعة للتدريب والتقنية,المنطقة الغربية,,الزاوية,12.73995647,32.75215451,alkalaacenter@gmail.com,913741146,
5,الجيل الرابع لبيع و صيانة الالكترونات-الزاوية,المنطقة الغربية,,الزاوية,12.71372653,32.77655871,falcon77aa@gmail.com,914997757,
6,مركز اللمسة السحرية للالكترونات,المنطقة الغربية,,الزاوية,12.68199358,32.7619611,o.almeshaal@gmail.com,911874676,
7,مركز العروسي لبيع الاجهزة الالكترونية و ملحقاته,المنطقة الغربية,,الزاوية,12.75303606,32.7691863,alarosei.zw@gmail.com,916993000,
8,مركز نور السفير لتقنية الحاسوب,المنطقة الغربية,,العجيلات,12.37513004,32.75719199,norydeep1@gmail.com,913209021,
9,مركز الانطلاقة للحواسيب ,المنطقة الغربية,,رقدالين,11.97578282,32.89165756,fathimmelad@yahoo.com,913755080,
10,محل الأفاق لبيع الحاسب الالي ,المنطقة الغربية,,زلطن,12.06119083,32.85131748,alafaq095@gmail.com,927416013,
11,تشاركية المعارف للحاسوب واللغات والترجمة القانونية,المنطقة الغربية,,زوارة,12.08326274,32.93141677,almareefcompany@gmail.com,925670607,
12,مركز كليك لخدما ت الحاسب الآلي,المنطقة الغربية,,زوارة,12.08938897,32.92891025,aselbouali@gmail.com,917784160,
13,مركز ديسك توب للحاسوب,المنطقة الغربية,,زوارة,12.08166896,32.93038899,desktop.zw@gmail.com,928071251,
14,مركز الاثار للحاسب الألي ,المنطقة الغربية,,صبراته,12.48630687,32.79540452,rabea.libya@yahoo.com,925056918,
15,محل عالم التكنولوجيا لبيع الحاسب الالي وملحقاته وصيانة ,المنطقة الغربية,,صبراته,12.47946032,32.79283727,nezar2634@gmail.com,918000093,
16,مكتب الأمل للتقنية المكتبية - صرمان,المنطقة الغربية,,صرمان,12.56709366,32.76997512,alaml.almotakdema.co@gmail.com,915981162,
17,شركة الأوائل الدولية المتحدة لاستيراد الأجهزة,المنطقة الغربية,,صرمان,12.57040219,32.76033396,alawael.inter@gmail.com,915213694,
18,مركز العالمية للأجهزة الأكترونية,المنطقة الغربية,,,,,,,
19,مكتب عين الفرس للاتصالات,المنطقة الغربية,,,,,,,
20,مكتبة الدقة للقرطاسية,المنطقة الغربية,,,,,,,
21,مكتبة الاتحاد للقرطاسية والحاسبات,المنطقة الغربية,,,,,,,
22,مركز المدار لخدمات الانترنت والهاتف النقال وكملياته,المنطقة الغربية,,,,,,,
23,مركز الاتقان لخدمات الانترنت,المنطقة الغربية,,,,,,,
24,الليث 3,المنطقة الغربية,,,,,,,
25,المهندس البارع للحاسب الألي و الانترنت و التدريب و التعليم و التأهيل ,المنطقة الغربية,,,,,,,
26,محل يفرن لخدمات الحاسب الآلي,المنطقة الغربية,,,,,,,
27,محل التقني للإلكترونيات,المنطقة الغربية,,,,,,,
28,شركة المتألق للاجهزة الالكترونية,المنطقة الغربية,,,,,,,
29,تشاركية الحاسب الآلي لاستيراد الالكترونات والحواسيب ,المنطقة الغربية,,,,,,,
30,محل المتميز لبيع الاجهزة الالكترونية والنقالات,المنطقة الغربية,,ترهونة,13.62812,32.43302,,,
31,محل الدباغ للهاتف النقال,المنطقة الغربية,,,,,,,
32,شركة رواد الجبل لتقنية المعلومات والاتصالات والحاسب الآلي ,المنطقة الغربية,,ككلة,12.694102,32.068446,,,
33,محل السد لبيع اجهزة الهاتف النقال,المنطقة الغربية,,ككلة,12.703218,32.059966,,,
34,محل اكاكوس لبيع النقالات وخدمات الانترنت,المنطقة الغربية,,,,,,,
35,محل همام لبيع اجهزة الحاسب الآلي وكمالياته ,المنطقة الغربية,,,,,,,
36,  محل النخلة لبيع اجهزة الحاسب الآلي ,المنطقة الغربية,,,,,,,
37,محل لؤلؤة الجبل لبيع وصيانة اجهزة الحاسب الآلي والهاتف النقال ,المنطقة الغربية,,,,,,,
38,محل الأنوار للحاسب الألي,المنطقة الغربية,,,,,,,
39,مركز الشعاع,المنطقة الغربية,,,,,,,
40,محل وعد للالكترونات والهواتف المحمولة,المنطقة الغربية,,,,,,,
41,محل المتميز - الجوش,المنطقة الغربية,,,,,,,
42,محل الباروني لبيع النقالات ,المنطقة الغربية,,,,,,,
43,محلات جبل نفوسة ,المنطقة الغربية,,,,,,,
44,محل هديل لبيع الهاتف النقال ,المنطقة الغربية,,,,,,,
45,مركز المتقدم لبيع وصيانة الحاسوب والالكترونات,المنطقة الغربية,,,,,,,
46,زنتان سوفت,المنطقة الغربية,,,,,,,
47,مركز تواصل,المنطقة الغربية,,,,,,,
48,التقنية لبيع و شراء و صيانة الحاسب الآلي ,المنطقة الغربية,,,,,,,
49,مركز تواصل ,المنطقة الغربية,,,,,,,
50,محل أوسمان للهاتف النقال وكمالياته ,المنطقة الغربية,,,,,,,
51,شركة البديل -البيضاء,المنطقة الغربية,,البيضاء,21.747749,32.764207,,,
52,شركة البديل -الزاوية,المنطقة الغربية,,الزاوية,12.732412,32.765235,,,
53,شركة البديل -بنغازي-البيبسي,المنطقة الغربية,,بنغازي,20.081694,32078500,,,
54,شركة البديل -سبها,المنطقة الغربية,,سبها,14.4394962,27.03125,,,
55,محل الساحلي للهاتف النقال,المنطقة الغربية,,,,,,,
56,شركة السهم للحاسبات والالات الالكترونية ,المنطقة الغربية,,,,,,,
57,محل القبطان للحاسبات,المنطقة الغربية,,,,,,,
58,شركة المتصل للإتصالات والتقنية ,المنطقة الغربية,,,,,,,
59,لمحل المهندس لبيع الهاتف النقال ,المنطقة الغربية,,جنزور,13.0190679,32.7748639,,,
60,لشركة روائع الإبداع لاستيراد الحاسب الآلي ,المنطقة الغربية,,,,,,,
61,شركة القدرة للأعمال والمنظومات الكهربائية والالكترونية والاتصالات المساهمة,المنطقة الغربية,,,,,,,
62,محل الارقام الذهبية لبيع الهاتف النقال,المنطقة الغربية,,الكريمية,13.1098437,327910833,,,
63,شركة الليث لخدمات الحاسب الالى  ,المنطقة الغربية,,,,,,,
64,شركة المحيط التقنية لاستيراد الحاسب الآلي وملحقاته,المنطقة الغربية,,,,,,,
65,محل المدى لبيع الهاتف النقال وكمالياته ,المنطقة الغربية,,طرابلس,,,,,
66,شركة فضاء المعلومات للتقنية ,المنطقة الغربية,,,,,,,
67,محل ميجاهيرتز لبيع وصيانة الحاسب الالي,المنطقة الغربية,,جنزور,13.032373,32.824525,,,
68,محل ميزران لبيع الهاتف المحمول,المنطقة الغربية,,,,,,,
69,تشاركية نبتون لخدمات الاتصالات ,المنطقة الغربية,,,,,,,
70,مكتب بوابة المستقبل لخدمات الحاسب الآلي ,المنطقة الغربية,,,,,,,
71,مركز الكون لخدمات الحاسب,المنطقة الغربية,,طرابلس,13.3428989,32.8839351,,,
72,مكتب ابو خيط لخدمات الحاسوب ,المنطقة الغربية,,طرابلس,13.2460292,32.9063547,,,
73,تشاركية الزرقاء للرقميات والإتصالات وتقنية المعلومات ,المنطقة الغربية,,طرابلس,13.0913947,32.8592436,,,
74,شركة المنطلق لخدمات الحاسوب ,المنطقة الغربية,,طرابلس,13.203554,32.893161,,,
75,مركز الثقة للحاسبات,المنطقة الغربية,,,,,,,
76,مركز أفـاق المستقبل لخدمات الحاسوب والإنترنت,المنطقة الغربية,,,,,,,
77,تشاركية مرسول السلام للاتصالات ,المنطقة الغربية,,قصربن غشير,,,,,
78,مكتب الاستشاري لتقنية المعلومات ,المنطقة الغربية,,طرابلس,13.20248435,32.88819996,,,
79,مركز ابن خلدون لخدمات الحاسوب ,المنطقة الغربية,,,,,,,
80,دار المفيد لاستيراد الحاسوب والانظمة الالكترونية,المنطقة الغربية,,طرابلس,13.19795,32.871054,,,
81,مركز الكناري للتقنية وخدمات الحاسوب ,المنطقة الغربية,,,,,,,
82,مركز حازم لخدمات لالحاسوب ,المنطقة الغربية,,قصر خيار,13.849781,32.69839,,,
83,آدم للحواسيب و تقنية المعلومات,المنطقة الغربية,,السواني,13.04021,4354232,,,
84, شركة الليث لخدمات الحاسب الالي 2 ,المنطقة الغربية,,,,,,,
85,الدليل أبناء الجهد لخدمات الحاسوب,المنطقة الغربية,,,,,,,
86,محل اوال للهاتف النقال,المنطقة الغربية,,طرابلس,13.0663038,32.8339916,,,
87,محل أيوب التونسي للالكترونات والحاسب الآلي ,المنطقة الغربية,,,,,,,
88,شركة اتصالاتي لاستيراد الحاسب الالي ,المنطقة الغربية,,,,,,,
89,شركة  المارد للاتصالات وتقنية المعلومات ,المنطقة الغربية,,,,,,,
90,محل كونكشن فور تيك لبيع الهاتف النقال والاجهزة الالكترونية,المنطقة الغربية,,طرابلس,13.2037495,32.8944552,,,
91,محل أيهم لبيع احهزة الهاتف النقال وكمالياته,المنطقة الغربية,,,,,,,
92,محل الزمام للهاتف النقال,المنطقة الغربية,,,,,,,
93,محل الاجهزة الذكية لبيع وصيانة الاجهزة الالكترونية,المنطقة الغربية,,تاجوراء,13.18542,32.5146.5,,,
94,محل المميز لبيع اجهزة النقال وكمالياته,المنطقة الغربية,,طرابلس,13.2623561,32.8191342,,,
95,شركة الأنظمة - عين زارة,المنطقة الغربية,,,,,,,
96,شركة تيبستي لاستيراد اجهزة الاتصالات والاجهزة الالكترونية,المنطقة الغربية,,,,,,,
97,شركة التقنية لبيع الحاسب الالي,المنطقة الغربية,,,,,,,
98,محل الجوال لبيع الهاتف المحمول ,المنطقة الغربية,912117650,,,,,,
99,محل سوف للالكترونات,المنطقة الغربية,,,,,,,
100,الأفق البعيد للإلكترونات,المنطقة الغربية,917930240,,,,,,
101,الرائد لبيع الأجهزة الإلكترونية,المنطقة الغربية,,تاجوراء,13.344882,32.871431,,,
102,محل هاتف ليبيا ,المنطقة الغربية,,,,,,,
103,المستقبل الزاهر ,المنطقة الغربية,913137703,الزهراء,12.52035,41.6324,,,
104,البرق,المنطقة الغربية,,مسلاتة,14.038662,32.579654,,,
105,الشبكة للاتصالات والانترنت,المنطقة الغربية,,,,,,,
106,شركة البديل -المدار,المنطقة الغربية,927725673,طرابلس,13.2143429,32.8672747,,,
107,شركة البديل -الجرابة,المنطقة الغربية,,طرابلس,13.2058145,32.8795535,,,
108,شركة البديل -النصر,المنطقة الغربية,,طرابلس,13.1885135,32.8870816,,,
109,شركة البديل -جنزور,المنطقة الغربية,,جنزور,130128899,32.8244184,,,
110,شركة البديل -الفرناج,المنطقة الغربية,,طرابلس,13.244611,32.851298,,,
111,شركة البديل -قرجي,المنطقة الغربية,,طرابلس,13.130432,32.867274,,,
112,شركة البديل -طريق الشوك,المنطقة الغربية,,طرابلس,13.2291226,32.8370369,,,
113,شركة البديل -المأمون,المنطقة الغربية,,طرابلس,13.173812,32.894395,,,
114,شركة البديل - سوق الجمعة,المنطقة الغربية,,طرابلس,13.2387712,32.8827196,,,
115,شركة البديل -قصر بن غشير,المنطقة الغربية,,قصر بن غشير,13.174957,32.681706,,,
116,عبد الهادي الحجاجي,المنطقة الغربية,,,,,,,
117,عبدالرزاق عبدالسلام معروف,المنطقة الغربية,,,,,,,
118,شركة البديل -مصراته,المنطقة الغربية,,مصراتة,15.0783823,32.3764308,,,
119,شركة الوسائل للاتصالات,المنطقة الغربية,,طرابلس,13.150924,32.872047,,,
120,المعداني موبايل,المنطقة الغربية,,الجفارة,12.5945.8,32.40.44.1,,,
121,محل الميعاذ,المنطقة الغربية,,طرابلس,13.291846,32.8797043,,,
122,شركة السفير للالكترونات,المنطقة الغربية,,طرابلس,13.130233,32.867254,,,
123,شركة البديل-ستي مول,المنطقة الغربية,,طرابلس,13.137655,32.850925,,,
124,شركة البديل - الملكية مول,المنطقة الغربية,,طرابلس,13.2501042,32.8201775,,,
125,شركة البديل -تاج مول,المنطقة الغربية,,تاجوراء,13.3452527,32.8909566,,,
126,شركة البديل - ترهونة,المنطقة الغربية,,ترهونة,13.627947,32.433081,,,
127,شركة البديل - طبرق,المنطقة الغربية,,طبرق,23.957599,32.0772,,,
128,شركة البديل - اجدابيا,المنطقة الغربية,,طرابلس,20.232103,30.779507,,,
129,شركة الظهرة للحاسبابات,المنطقة الغربية,,طرابلس,13.19205443,32.89013156,,,
130,شركة المستقبل الرقمي,المنطقة الغربية,,طرابلس,13.0694202,32.8427041,,,
131,الانظمة الدقيقة - زناتة,المنطقة الغربية,,طرابلس,13.236348,32.856543,,,
132,شركة المنطق لاستيراد الاجهزة الالكترونية,المنطقة الغربية,,طرابلس,13.185322,32.883558,,,
133,نورالدين لبيع الهواتف,المنطقة الغربية,,طرابلس,32.865598,13.276401,,,
134,شركة المستقبل الزاهر جنزور,المنطقة الغربية,,طرابلس,32.820672,13.036808,,,
135,تشاركية برج السلام للاتصالات,المنطقة الغربية,,طرابلس,32.8937,13.17947,,,
136,منتذي القصر,المنطقة الغربية,,طرابلس,32.795742,13.1368389,,,
137,فاضل 4....العبابسة,المنطقة الغربية,,طرابلس,32.8382003,13.3132859,,,
138,شركة المسار المتميز للاتصالات,المنطقة الغربية,,طرابلس,32.8469414,13.1321376,,,
139,المعداني موبايل,المنطقة الغربية,,طرابلس,32.6788582,12.9959484,,,
140,الياسمين موبايل,المنطقة الغربية,,طرابلس,32.8186617,13.0702144,,,
141,البرق,المنطقة الغربية,,طرابلس,32.57966334,14.03867988,,,
142,محل بهاء للهاتف المحمول,المنطقة الغربية,,طرابلس,32.85161,13.20311,,,
143,محل المصدر,المنطقة الغربية,,طرابلس,32884168,13345671,,,
144,أبناء الغاناي للألكترونات,المنطقة الغربية,,طرابلس,32.843851,13.205193,,,
145,مرسول السلام,المنطقة الغربية,,طرابلس,32.°40'55.8,13°10'29.8,,,
146,محل المتألق الجديد,المنطقة الغربية,,طرابلس,32.6185511,13.2236805,,,
147,المتداول الأول لبيع كروت دفع المسبق,المنطقة الغربية,,طرابلس,32.839881,13.182999,,,
148,ميلانو,المنطقة الغربية,,طرابلس,32.7589429,12.9109299,,,
149,شركة المنطق,المنطقة الغربية,,طرابلس,32.8835601,13.1852117,,,
