اسم الوكيل,Latitude,Longitude
محل المهندس للهاتف النقال,32.775051,13.018975
شركة الظهرة لاستيراد الاجهزة الالكترونية,32.890132,13.192054
المعداني موبايل,32.679047,12.996006
تشاركية مرسول السلام للاتصالات,32.684784,13.175771
شركة المستقبل الرقمي,32.863523,13.109497
البوزيدي لبيع الاجهزة,32.85094,13.185926
المتميز الجديد,32.714355,13.197353
محل المرسال للهاتف النقال,32.873171,13.211002
أويس للهاتف النقال,32.528327,13.016847
أنس للهاتف النقال,32.839504,13.191678
محل الدقة للهاتف النقال,32.855353,13.244593
المصدر للاجهزة الكهربائية,32.88411,13.345664
عالم الهاتف النقال,32.853405,13.26071
الاشارة للاجهزة الالكترونية,32.875279,13.251449
شركة المنطق لاستيراد الأجهزة,32.883719,13.185387
شركة الاستشاري لاستيراد الحاسب,32.88814,13.202125
OI9,32.889486,13.243079
مركز الكون لخدمات الحاسب,32.884012,13.343265
AR Technology,32.850227,13.179204
محل دار الشارقة للهاتف النقال,32.852324,13.160838
محل الارقام الذهبية,32.791015,13.10991
شركة المستقبل الزاهر,32.8937,13.17947
المدى للهاتف النقال,32.884455,13.236391
شركة الليث لخدمات الحاسب,32.862731,13.093434
هديل للهاتف النقال,31.841955,11.339212
دار المفيد لاستيراد الحاسوب,32.870409,13.196393
محل كونكشن فور تيك,32.894519,13.204016
مركز الرسالة الرقمية,32.871444,13.19176
مركز ابو خيط للحاسب الالي,32.906458,13.245978
محل ادم لبيع الحواسيب,32.712083,13.067236
مكتب البرق-مسلاته,32.579788,14.038641
النجمة للهاتف النقال,32.862707,13.289694
اقزيط للهاتف النقال,32.391856,14.972886
محل العامرة,31.450788,15.255224
جبريل لتوزيع الهاتف النقال,32.336164,15.092423
المجرش لبيع الهاتف النقال,32.541897,14.393231
شاهين للهاتف المحمول,32.712475,13.845144
مركز التقنية الحديثة للحاسبات,32.373821,15.094838
بهاء للهاتف النقال,32.851788,13.203213
شركة الارتقاء الراسخ,32.343747,15.078323
مركز المدينة-ودان,29.160054,16.140695
المركز العربي الهندسي - مصراتة,32.374976,15.083255
شركة التقنية الذكية,32.367493,15.092361
الموسوعة لبيع الإجهزة الإلكترونية,31.749835,14.018151
العالم لتوزيع المواد الالكترونية,32.372932,15.092201
شركة الرائد الذهبي,32.871611,13.344895
المستقبل لخدمات الانترنت,32.375507,15.125536
شركة البرج الصامد,32.366207,15.078948
محل أيوب التونسي للالكترونات,32.756588,13.719489
محل الساحلي للهاتف النقال,32.850185,13.17072
مكتب الخليج لخدمات الحاسوب - هون,29.122526,15.937903
مكتبة الدقة للقرطاسية,32.164409,13.011657
مركز رابسا للحاسوب,24.960229,10.181984
مركز التواصل للدورات التدريبية,26.566929,12.796213
التقنية الحديثة لخدمات الأنترنت,29.981287,14.262911
مركز برج التقنية للحاسوب,26.523615,13.008364
مركز الفردوس لتقنيات الحاسوب,27.48681,13.124343
الباشا للهاتف النقال,26.596142,12.733261
مركز الورقة الذهبية للتدريب,27.500138,13.26
مركز الامتياز للإلكترونات,31.432194,12.988121
محل الجوال لبيع الهاتف المحمول,26.60328,12.766986
مركز الثريا للأتصالات والحاسبات,27.547031,14.270713
مركز الانوار للحاسوب والتدريب,25.781115,10.561602
ماضي لبيع الأجهزة الكهربائية,25.929093,14.432153
مركز الصدارة للتدريب,26.130137,14.735579
شركة الرحال لخدمات الاتصالات,32.844918,13.172847
المتميز 2 ترهونة,32.433063,13.627938
ابناء الغناي لبيع الاجهزة,32.843986,13.205345
الياسمين موبايل للهاتف النقال,32.818822,13.070235
مركز أفاق لبيع الاجهزة,29.070449,15.783151
القمة الجديدة,32.690635,13.193049
محل النخلة لبيع اجهزة الحاسب,32.17836,12.860494
المعالج لخدمات الحاسب الالي,32.375583,15.092355
ليزر لتقنية ونظم المعلومات,27.031781,14.433592
شركة السهم لاستيراد الحاسوب,32.874642,13.211023
مركز المعلم,27.052379,14.415972
شركة سفير للالكترونات,32.867229,13.13008
دبي ستور,32.774241,13.055982
محل ابناء الشريف واولاده,32.106614,20.077516
التقنية - القبة,32.762475,22.236418
شركة العبد,32.086102,23.949761
الواحة الحاسوب والإنترنت - زليتن,32.469955,14.567186
الانظمة الدقيقة لاستيراد الحاسب,32.780967,13.301781
محل الاجهزة الذكية,32.862964,13.315078
شركة الفويهات للاتصالات-بنغازي,32.095548,20.081799
انوار بنغازي,32.090724,20.111389
شركة الدليل الجديد للتقنية,27.051725,14.415769
العصور للحاسب الآلي,32.377087,15.099197
مركز مهند للإتصالات والتقنية,32.752388,12.665957
محل المميز لبيع اجهزة النقال,32.81929,13.262321
محل منتدى البدري,32.837635,13.215265
محل أيهم لبيع احهزة الهاتف,32.86828,13.114088
شركة الضيافة,32.907962,13.235736
مركز الغد لخدمات الحاسب -اجدابيا,30.75666,20.221481
مركز الارشاد لخدمات الحاسب,32.098085,20.080306
الشاهين 2,32.184522,20.595159
زهور الغد لبيع الهاتف,32.034629,13.263273
محل السنابل لبيع الهواتف,31.667037,20.246009
علوم الثقنية - الفويهات,32.082359,20.080844
المودة 3 لبيع الهاتف النقال,32.664967,14.257783
محل المتميز لبيع الاجهزة/طمزين,31.844429,11.412942
تاكنس,32.482437,21.127117
تشاركية المرجان,32.102475,20.083155
اللواج,32.066325,20.086839
محل الأنوار للحاسب الألي,31.025125,10.600673
مركز الانطلاقة للحواسيب,32.891658,11.975783
محل الافاق لبيع الحاسب الالي,32.851317,12.061191
مركز التواصل لخدمات الهاتف,32.851903,12.062876
مركز ديسك توب للحاسوب,32.930389,12.081669
